AnimalID,CageID,Sex,Batch,DayPostWounding,DP_Caliper,Lateral_Caliper,Area
1001363-1,1001363,F,Batch2,5,4.15,4.24,13.81986608
1001363-1,1001363,F,Batch2,10,4.07,3.77,12.05107088
1001363-1,1001363,F,Batch2,15,4.14,3.53,11.47796584
1001363-1,1001363,F,Batch2,20,3.94,3.91,12.09937287
1001363-1,1001363,F,Batch2,25,3.59,3.79,10.68620595
1001363-1,1001363,F,Batch2,30,3.41,3.7,9.909368628
1001363-1,1001363,F,Batch2,35,3.13,3.51,8.628619843
1001363-2,1001363,F,Batch2,5,3.99,4.21,13.19303981
1001363-2,1001363,F,Batch2,10,4.42,4.03,13.98998333
1001363-2,1001363,F,Batch2,15,4.34,4.1,13.97537492
1001363-2,1001363,F,Batch2,20,4.05,4.16,13.23238826
1001363-2,1001363,F,Batch2,25,3.71,3.73,10.8685754
1001363-2,1001363,F,Batch2,30,3.66,3.22,9.256074435
1001363-2,1001363,F,Batch2,35,2.89,2.4,5.447521661
1058108-1,1058108,M,Batch3,5,3.97,4.07,12.69038498
1058108-1,1058108,M,Batch3,10,3.45,3.57,9.673356479
1058108-1,1058108,M,Batch3,15,3.33,3.8,9.93842836
1058108-1,1058108,M,Batch3,20,3.07,3.18,7.66752811
1058108-1,1058108,M,Batch3,25,2.82,2.84,6.290096811
1058108-1,1058108,M,Batch3,30,2.26,2.24,3.975999662
1058108-1,1058108,M,Batch3,35,1.78,1.99,2.782037374
1058108-1,1058108,M,Batch3,40,1.33,1.49,1.55642354
1058108-1,1058108,M,Batch3,45,0.9,1.15,0.812887099
1058108-1,1058108,M,Batch3,50,0.5,0.68,0.267035376
1058108-1,1058108,M,Batch3,55,0,0,0
1058108-2,1058108,M,Batch3,5,3.99,4.07,12.75431639
1058108-2,1058108,M,Batch3,10,4.2,3.43,11.31444594
1058108-2,1058108,M,Batch3,15,3.5,3.12,8.576547944
1058108-2,1058108,M,Batch3,20,3.08,3.22,7.789264825
1058108-2,1058108,M,Batch3,25,2.2,2.77,4.786216408
1058108-2,1058108,M,Batch3,30,2.24,2.47,4.345450958
1058108-2,1058108,M,Batch3,35,1.84,1.76,2.543433412
1058108-2,1058108,M,Batch3,40,1.4,1.51,1.660331717
1058108-2,1058108,M,Batch3,45,0.48,0.43,0.162106181
1058108-2,1058108,M,Batch3,50,0,0,0
1058108-3,1058108,M,Batch3,5,3.8,4.02,11.99774234
