Image,AnimalID,Slide,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num points,Area µm^2,Perimeter µm
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,021984d1-4618-4316-81dc-f989f255e381,Cartilage,Cartilage,Image,Polygon,93254.4,913563.4,,6498606165,526936
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,ed2fc1a3-31ce-41f7-947d-c5ce1c685e34,Cartilage,Cartilage,Image,Polygon,259959.4,769830.1,,2051294996,226813.4
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,abfc0886-71cd-43d8-a1ac-da12e5fc8da6,Adipocytes,Adipocytes,Image,Points,126440.1,900813.2,18,,
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,6ddedb74-9bec-4a91-b6cd-739b5f682f7d,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,165439.7,859722,,36835640273,1045476.9
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,777590db-3fe2-4cea-abca-388d4cf911f6,Cartilage,Cartilage,Image,Polygon,324073.6,618945.7,,1512805091,192983.3
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,9334b6ae-65d5-4122-8e2d-51b8d7d9ba76,Cartilage,Cartilage,Image,Polygon,431170,552669.2,,1521657397,185191.1
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,dbf8eee0-de4f-462a-bf00-a8e37d2bba18,Cartilage,Cartilage,Image,Polygon,516204.5,477800.3,,1386202143,206522.9
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,0c886ab8-8935-45a9-a965-6d3b055f41aa,Cartilage,Cartilage,Image,Polygon,584616.7,425947.6,,627764793.1,99392.4
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,956c3e42-0036-47c0-be6c-7674d0aec177,Cartilage,Cartilage,Image,Polygon,650623.3,413351.2,,868712208,113888.8
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,f97e0d6f-c437-4f3d-a78e-9eb650f1d9c8,Cartilage,Cartilage,Image,Polygon,750326.8,355718.2,,1975143953,293785.2
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,215506b0-afe7-4d9e-9e76-72094d3495c5,Adipocytes,Adipocytes,Image,Points,354326.3,601300,118,,
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,fdee65d9-485c-4591-994c-cfdc5675db75,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,452900.8,530159.8,,71309298033,1917376.7
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,6069d785-59bc-4426-ad4a-0c3699291ec6,Cartilage,Cartilage,Image,Polygon,152340.9,666107.6,,3019792896,387861.5
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,758cb380-d230-443e-9722-b2e07fce4265,Cartilage,Cartilage,Image,Polygon,281523.6,564981.1,,137733539.5,43251.7
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,42b779f7-08a7-439d-b4a8-bed4d0252d24,Cartilage,Cartilage,Image,Polygon,439638.3,469059.6,,5571466594,726739.7
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,4a9da4df-f1df-42b6-9f57-b6337eb666fc,Cartilage,Cartilage,Image,Polygon,650601.2,363348.3,,1035953607,141832.4
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,25aa3090-8eaf-4510-97ef-61f5055d6704,Cartilage,Cartilage,Image,Polygon,857298.2,299456.3,,351162732.8,83494.7
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,5a4eddf8-3965-44dd-9140-d2bb2c24d2d5,Adipocytes,Adipocytes,Image,Points,318423.8,558472.4,73,,
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,13f1c37f-2db9-4bc2-b9ad-d7334a9d1ec2,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,522844.6,443109.4,,74047035580,1984451.1
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,19,da4e4ecd-42aa-4a63-8d74-aeb8c493ac83,Cartilage,Cartilage,Image,Polygon,192486,630506.8,,2137795513,312070.4
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,7dbb65ad-1963-43ac-bb54-2edf489cae67,Cartilage,Cartilage,Image,Polygon,237329.9,446624.7,,657036041.5,106833.2
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,570d387d-4a97-4019-a066-9253fc20881c,Cartilage,Cartilage,Image,Polygon,397063.5,393420.7,,3692931182,488336.1
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,0ca79c87-dfbb-40cc-8488-97e5dd3bdcf9,Cartilage,Cartilage,Image,Polygon,645206.9,295726.2,,3926912109,532420.9
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,146fd443-6d7d-4762-a5dc-604584d20ec6,Cartilage,Cartilage,Image,Polygon,826394.8,211640.9,,431093365.1,79743
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,1cb0bcb2-efb2-446b-88b1-24a696ff9419,Cartilage,Cartilage,Image,Polygon,958128.6,200076.7,,1133393133,173261.4
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,b8d33db2-7adb-4c93-bd5d-5d3f1e9289b2,Cartilage,Cartilage,Image,Polygon,1039782.3,272297.1,,651375797.1,121310.3
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,afaeb461-34e1-408e-a6ea-1c597d3bf9be,Adipocytes,,Image,Points,414673.3,407342.1,7,,
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,43fc51b9-f928-4a14-ac43-7786bb077d97,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,735391.2,280188.8,,1.07E+11,2398124.1
Aco_ear_941702-1_9.tif,941702-1,9,76c24f5e-478b-4638-b142-5b27148174b1,Cartilage,Cartilage,Image,Polygon,404899.1,456416.3,,2330850165,244645.1
Aco_ear_941702-1_9.tif,941702-1,9,938cc352-6050-4ac3-b786-4dd84fb54f3c,Cartilage,Cartilage,Image,Polygon,247608.5,256682.4,,6140992601,575437.6
Aco_ear_941702-1_9.tif,941702-1,9,c06b936a-209f-4744-8903-2617b89ed1d5,Adipocytes,Adipocytes,Image,Points,383680.8,466337.5,55,,
Aco_ear_941702-1_9.tif,941702-1,9,3e353975-ae4e-49b2-adc6-5771383d1865,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,398372,456317,,1.11E+11,1971951.1
Aco_ear_941702-1_9.tif,941702-1,9,9f761b9f-7372-41cd-9733-e58e151c0f84,Cartilage,Cartilage,Image,Polygon,587155.8,649328.2,,9028733257,621811.5
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,697a26aa-519b-4f77-904b-9c6c8450428a,Cartilage,Cartilage,Image,Polygon,193631.7,259152.5,,2141146116,297531.1
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,09beceb1-abbd-4635-be53-ebc6bbda1dfc,Cartilage,Cartilage,Image,Polygon,252396,433240.9,,1854894569,281662.9
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,e7841d24-544b-421f-9f94-16736802a2c9,Cartilage,Cartilage,Image,Polygon,316161.5,555762.2,,889497254.9,158888.2
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,9d40eacb-ea19-4bdc-a651-af0aa3687ba6,Cartilage,Cartilage,Image,Polygon,340137.2,656161.1,,715038508.5,143854.3
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,4e02f3ca-ce44-4bc3-a113-d0380cd14b41,Cartilage,Cartilage,Image,Polygon,406602.5,733903.3,,437963910.4,78188.7
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,eb062687-624f-4694-b067-28630d156c2c,Cartilage,Cartilage,Image,Polygon,448110.8,820857.5,,1171479507,210469
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,7bdac0d9-23a1-4070-863c-32215625c059,Adipocytes,Adipocytes,Image,Points,275168,498571.1,137,,
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,28f4f10f-2b29-451b-9fd8-a6c44203bfcd,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,426178.1,786551.9,,11159146745,543421.4
Aco_ear_941702-1_12.tif - Aco_ear_941702-1_12.tif #1,941702-1,12,499df2f4-71e6-4bf5-b74b-d3a7daba6242,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,260544.1,455885.8,,47837798814,1364873.4
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,134bb4cf-7b50-4169-a560-37d474e88864,Cartilage,Cartilage,Image,Polygon,290779.8,269041,,3013856673,541912.3
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,f881e888-2591-45b7-94af-d7416eb9bc7b,Cartilage,Cartilage,Image,Polygon,288815.6,442988.9,,638146948.6,138946.8
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,6a8d3c6c-7b47-4ac7-a6a4-ca27c5b4f2b1,Cartilage,Cartilage,Image,Polygon,300334.9,581072.6,,1978282931,349196.1
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,5489e108-a55c-4069-ac7d-74c46bb63ba1,Cartilage,Cartilage,Image,Polygon,334717.9,770368.5,,1088461814,246136.9
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,21254b8c-bdaa-4fbf-83e8-78a3a60c1c68,Cartilage,Cartilage,Image,Polygon,368456.6,958909.5,,555001429.8,154728
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,987bd36c-8de4-4bb4-8279-dc058bda5ff5,Cartilage,Cartilage,Image,Polygon,378513,1044695.3,,282848687.2,73120.1
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,9732de0c-bdfb-40ba-b196-b895b24ba91a,Adipocytes,Adipocytes,Image,Points,334799.2,762507,53,,
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,42b8e475-a901-4b27-b670-af8c44b0c66c,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,301062.8,504542.3,,43594447864,1646399.5
Aco_ear_941702-1_18.tif - Aco_ear_941702-1_18.tif #1,941702-1,18,0e333555-324e-43e1-8961-d707e5b8af18,Regenerated Zone,Regenerated Zone Zone,Image,Polygon,376712.6,983331.6,,7925449499,482849.3
Aco_ear_941702-1_21.tif - Aco_ear_941702-1_21.tif #1,941702-1,21,742f589b-5a95-4bc6-b4a1-8e7a882f8ac2,Cartilage,Cartilage,Image,Polygon,174837.8,289477.7,,743453797.5,191322.9
