Image,AnimalID,Slide,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num points,Length µm
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,abfc0886-71cd-43d8-a1ac-da12e5fc8da6,Adipocytes,Adipocytes,Image,Points,126440.1,900813.2,18,
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,f8196d30-f492-40bf-8173-933d21752564,Regenerated Length,Regenerated Length,Image,Polyline,168640.1,868114.4,,437595
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,8fae3661-37b8-426c-a069-309a11f55e88,Cartilage Length,Cartilage Length,Image,Polyline,90924.7,916845,,235210.9
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,2406a141-d69d-4622-b5e0-6a9edff20380,Cartilage Length,Cartilage Length,Image,Polyline,255424.9,770928,,88374.5
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,215506b0-afe7-4d9e-9e76-72094d3495c5,Adipocytes,Adipocytes,Image,Points,354326.3,601300,118,
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,ddc130a6-f6c5-47e7-89dc-e417f1e54e39,Regenerated Length,Regenerated Length,Image,Polyline,463309.9,530441.1,,849620.5
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,5a7cf5d1-a31d-4a24-8eb6-6b3b2f3bd418,Cartilage Length,Cartilage Length,Image,Polyline,157278.6,664647.5,,178115.4
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,08d6ac7a-64b5-4d23-a6c6-57e33c11fe85,Cartilage Length,Cartilage Length,Image,Polyline,324107,618020.1,,83034.5
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,9ff3b7ab-9dee-437e-864b-a5fa83c57090,Cartilage Length,Cartilage Length,Image,Polyline,432197.9,554347.5,,78111
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,a7dc2cfc-5938-4ae0-b9c6-f279a482011d,Cartilage Length,Cartilage Length,Image,Polyline,513756.3,480164.7,,87450.2
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,c4704ee8-c341-4757-b777-1dda7872a798,Cartilage Length,Cartilage Length,Image,Polyline,585625.7,426439.4,,37147.7
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,335cb496-b6b7-4fdd-a84f-1ca495bba2af,Cartilage Length,Cartilage Length,Image,Polyline,650882.9,413079.3,,42953.1
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,f9fb2751-eb68-4ff7-9697-1fbc58b6608a,Cartilage Length,Cartilage Length,Image,Polyline,745731.5,359498.5,,129315.2
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,a43d08e2-eca7-4655-9b5a-b750a33ff9b4,Regenerated Length,Regenerated Length,Image,Polyline,520610.8,447658.4,,875155.6
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,2498e5e0-a5c9-4a10-8b46-884826417b2b,Cartilage Length,Cartilage Length,Image,Polyline,174701.6,652569.9,,49289.7
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,455ffa47-ce27-4af7-9726-37db9c828ff4,Cartilage Length,Cartilage Length,Image,Polyline,331226.7,525682.4,,165674.4
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,60b00949-f556-42e7-9778-6a51c5e6a373,Cartilage Length,Cartilage Length,Image,Polyline,555539.3,410107.3,,190383.5
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,da1255dd-d1a9-4e00-8bee-59e0cc900a8e,Cartilage Length,Cartilage Length,Image,Polyline,705265.1,346664,,46135.7
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,7d82553d-9c0c-4dfd-8bd7-25e87c464eae,Cartilage Length,Cartilage Length,Image,Polyline,746940.1,332632.5,,29304
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,bea8316c-b084-4d60-a3af-fe67a3e24c53,Cartilage Length,Cartilage Length,Image,Polyline,798032,291450.5,,53437.8
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,b71dc751-1822-4207-b37d-adc98b015af6,Cartilage Length,Cartilage Length,Image,Polyline,858894.2,246989.1,,27826.1
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,d8a7b24d-d193-48b6-8e29-c97d8898d5aa,Adipocytes,Adipocytes,Image,Points,388895.1,513056.6,98,
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,5a4eddf8-3965-44dd-9140-d2bb2c24d2d5,Adipocytes,Adipocytes,Image,Points,318423.8,558472.4,73,
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,919fc985-efe6-4830-b1d9-b7be18be2662,Regenerated Length,Regenerated Length,Image,Polyline,504789.9,464004.1,,876627.4
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,1f3d4d5a-5fef-411f-a538-49b6b70a4f27,Cartilage Length,Cartilage Length,Image,Polyline,197796.4,631740.8,,133014.3
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,c7f4bfa4-06a0-4b57-bc01-717b276561af,Cartilage Length,Cartilage Length,Image,Polyline,281526.5,565068.6,,15070.3
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,98023b75-09f7-4f24-856b-57c88ea7f9ca,Cartilage Length,Cartilage Length,Image,Polyline,444991.6,467579.5,,339788.2
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,e9f25956-317b-4849-b508-dac8297e985d,Cartilage Length,Cartilage Length,Image,Polyline,648827.9,362752.6,,59227.3
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,3e37ace5-7333-4dc4-8c58-f19b1c994970,Cartilage Length,Cartilage Length,Image,Polyline,857659,299463.7,,33989
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,bd52496d-6647-4854-a467-c6c98eaf9cbc,Regenerated Length,Regenerated Length,Image,Polyline,600242,394083,,818766.3
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,7886dd52-08f7-4b65-9e7f-634f94c5dbc9,Cartilage Length,Cartilage Length,Image,Polyline,344837.5,474682.8,,57158.3
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,c7ab37ae-d2d5-4186-b390-f146bdff6844,Cartilage Length,Cartilage Length,Image,Polyline,398361.3,429022.7,,30201.6
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,3aaf8cab-be12-4e53-bd76-c249a69d1640,Cartilage Length,Cartilage Length,Image,Polyline,515614.6,389780.1,,90251.4
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,eca37bcb-7960-4b0e-8c5b-181c5615c718,Cartilage Length,Cartilage Length,Image,Polyline,658782.6,324490,,93193.7
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,3220ff35-f742-4927-b7ae-ffc70577b118,Cartilage Length,Cartilage Length,Image,Polyline,801304.8,310035.7,,15227.1
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,866c7d13-e724-4bc2-831e-bd4fd110382c,Cartilage Length,Cartilage Length,Image,Polyline,873528.5,335463.4,,19828.3
