Image,AnimalID,AgeCat,antibody,nerve_num,Object ID,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Num points
Old_Ear_Aco_2h3_s4_100x.jpg,old1,> 22 mo,mediumNF,1,bbda19e1-c27f-47af-9fb5-05ecc545a416,Nerve,Nerve,Image,Points,1046.2,732.01,11
Old_Ear_Aco_2h3_s4-2_100x.jpg,old1,> 22 mo,mediumNF,2,c4b66a44-a405-4910-93ac-24908902edf6,Nerve,Nerve,Image,Points,932.25,767.64,12
Old_Ear_Aco_2h3_s4-4_100x.jpg,old1,> 22 mo,mediumNF,4,369d9f39-043c-43f4-bfc3-04793bf57195,Nerve,Nerve,Image,Points,427.26,599.3,13
Old_Ear_Aco_2h3_s4-5_100x.jpg,old1,> 22 mo,mediumNF,5,e15ba07e-b5bd-4fcf-a6a2-7bc62c79a143,Nerve,Nerve,Image,Points,492.62,627.25,7
Yng_Ear_Aco_2h3_s6_100x.jpg,yng1,3 - 4 mo,mediumNF,1,89f1b497-bed7-4266-9b7a-b5e01c371ecb,Nerve,Nerve,Image,Points,657.13,458.37,82
Yng_Ear_Aco_2h3_s6-2_100x.jpg,yng1,3 - 4 mo,mediumNF,2,91915713-e097-4f74-9df4-f72aa254c0f2,Nerve,Nerve,Image,Points,494.92,387.74,77
Yng_Ear_Aco_2h3_s6-3_100x.jpg,yng1,3 - 4 mo,mediumNF,3,455377d8-bae6-495c-89f5-365e430a3fa5,Nerve,Nerve,Image,Points,757.59,521.39,60
Yng_Ear_Aco_2h3_s6-4_100x.jpg,yng1,3 - 4 mo,mediumNF,4,a74eb61e-3c19-4ad0-bb29-993132f2f2a2,Nerve,Nerve,Image,Points,531.44,397.97,15
Yng_Ear_Aco_2h3_s6-5_100x.jpg,yng1,3 - 4 mo,mediumNF,5,f6e78cb4-2a22-4f52-85e1-e893e0855fc5,Nerve,Nerve,Image,Points,535.36,437.54,24
Yng_Ear_Aco_2h3_s6-6_100x.jpg,yng1,3 - 4 mo,mediumNF,6,5bed1c35-9b6a-492a-9ab0-26de4fc5e0c2,Nerve,Nerve,Image,Points,658.35,476.45,35
Yng_Ear_Aco_2h3_s6-7_100x.jpg,yng1,3 - 4 mo,mediumNF,7,664e9538-82bc-465d-91f6-d523ca132893,Nerve,Nerve,Image,Points,786.51,686.3,49
Yng_Ear_Aco_2h3_s6-8_100x.jpg,yng1,3 - 4 mo,mediumNF,8,9dbfd12a-017a-4de5-a2eb-0bf7c31cf74e,Nerve,Nerve,Image,Points,560.04,577.89,125
Yng_Ear_Aco_2h3_s6-9_100x.jpg,yng1,3 - 4 mo,mediumNF,9,bf8ddd39-285d-4c2c-943f-cfc9db66bf14,Nerve,Nerve,Image,Points,424.88,632.58,60
Yng_Ear_Aco_2h3_s6-10_100x.jpg,yng1,3 - 4 mo,mediumNF,10,d5442638-21a6-490e-80d5-91b2c8dbebe6,Nerve,Nerve,Image,Points,630.44,479.7,15
Yng_Ear_Aco_2h3_s6-11_100x.jpg,yng1,3 - 4 mo,mediumNF,11,311ebb2b-1d4d-4e86-a443-86852693a08c,Nerve,Nerve,Image,Points,520.83,380.07,35
Aco_3yrM_2h3-4_100x_1.jpg,old2,> 22 mo,mediumNF,1,084fb85b-bda7-4bd0-be2d-b3bc30418509,Nerve,Nerve,Image,Points,620.05,384.42,7
Aco_3yrM_2h3-4_100x_2.jpg,old2,> 22 mo,mediumNF,2,ec058d90-5763-4460-97ad-7f4ffd9ec198,Nerve,Nerve,Image,Points,464.43,553.48,30
Aco_3yrM_2h3-4_100x_3.jpg,old2,> 22 mo,mediumNF,3,b4bf4c70-f609-4aa1-9295-3d61c882d5f2,Nerve,Nerve,Image,Points,575.27,368.82,34
Aco_3yrM_2h3-4_100x_4.jpg,old2,> 22 mo,mediumNF,4,64d43273-169d-46a4-974e-a054fa033187,Nerve,Nerve,Image,Points,521.03,344.84,11
Aco_3yrM_2h3-4_100x_6.jpg,old2,> 22 mo,mediumNF,6,f7e84456-d776-43b7-8125-a1c29e11326f,Nerve,Nerve,Image,Points,615.83,620.42,32
Aco_3yrM_2h3-4_100x_5-1.jpg,old2,> 22 mo,mediumNF,51,7fea9533-8933-44a3-aa8e-182b99e351a3,Nerve,Nerve,Image,Points,857.01,661.55,2
