AnimalID,Slide,regen muscle,uninj muscle,fiber count,notes
1001363-1,13,0,1,1,
1001363-1,20,0,1,1,
1001363-1,16,0,0,,
1001363-1,35,0,0,,
1001363-1,42,0,0,,
1001363-1,45,0,0,,
1001363-1,48,0,0,,
1001363-1,51,0,0,,
1001363-1,54,0,0,,
1001363-1,57,0,0,,
1001363-1,60,0,0,,
1001363-1,63,0,0,,
1001363-1,66,0,0,,
1001363-2,1,0,0,,
1001363-2,4,0,0,,
1001363-2,7,0,0,,
1001363-2,10,0,0,,
1001363-2,13,0,0,,
1001363-2,16,0,0,,
1001363-2,19,0,0,,
1001363-2,22,0,0,,
1001363-2,25,0,0,,
1001363-2,28,0,0,,
1001363-2,31,0,0,,
1001363-2,34,0,0,,
1001363-2,37,0,0,,
1001363-2,40,0,0,,
1001363-2,43,0,0,,
1001363-2,51,0,0,,
1001363-2,57,0,0,,
90-8-2,31,1,1,,
922587-1,1,0,0,,
922587-1,4,0,0,,
922587-1,7,0,0,,
922587-1,10,0,0,,
922587-1,13,0,0,,
922587-1,16,0,0,,
922587-1,19,0,0,,
922587-1,22,0,0,,
922587-2,1,1,1,4,
922587-2,4,0,1,0,
922587-2,7,0,0,,
922587-2,10,0,0,,
922587-2,13,0,0,,
922587-2,16,0,0,,
922587-2,19,0,0,,
922587-2,22,0,0,,
927693-1,7,0,0,,
927693-1,10,0,0,,
927693-1,13,0,0,,
927693-1,16,0,0,,
927693-1,19,0,0,,
927693-1,22,0,0,,
941702-1,9,0,1,0,
941702-1,12,0,0,,
941702-1,15,0,0,,
941702-1,18,0,0,,
941702-1,21,0,0,,
941702-1,24,0,0,,
941702-1,27,0,0,,
941702-1,30,0,0,,
941702-3,1,1,1,14,
941702-3,4,0,0,,
941702-3,7,0,0,,
941702-3,10,0,0,,
957162-1,4,0,0,0,
957162-1,7,0,1,0,
957162-1,10,0,1,6,
957162-1,13,0,1,3,
957162-1,16,0,0,,
957162-1,19,0,0,,
957162-1,22,0,0,,
957162-1,25,0,0,,
957162-1,28,0,0,,
957162-1,31,0,0,,
990342-1,52,0,1,21,
990342-1,55,0,1,1,
990342-1,58,0,0,,
990342-1,61,0,0,,
990342-1,64,0,0,,
990342-2,1,1,1,44,
990342-2,4,1,1,59,
990342-2,10,0,1,4,
990342-2,13,0,0,,
990342-2,16,0,0,,
990342-2,19,0,0,,
990342-2,22,0,0,,
990342-2,25,0,0,,
990342-2,31,0,0,,
990342-2,37,0,0,,
990342-2,40,0,0,,
1064394-1,10,0,1,81,
1064394-1,12,1,1,85,
1064394-1,13,1,1,80,
1064394-1,16,1,1,124,
1064394-1,18,1,1,102,
1064394-1,15,0,1,128,
1064394-2,7.1,1,1,78,
1064394-2,7,1,1,76,
1064394-2,12,1,1,73,
1064394-2,15,1,1,65,
1064394-2,16,1,1,31,
1062366-1,12,1,1,,restain
1062366-1,1,1,1,,restain
1074455-1,13,1,1,62,
1074455-1,34,0,1,0,
1058108-2,31,1,1,63,
1058108-2,40,1,1,57,
1058108-2,43,1,1,57,
1058108-2,46,1,1,71,
1058108-2,55,0,1,61,
1058108-2,52,0,0,100,
1058108-2,37,1,1,94,
1058108-3,4,1,1,54,
1058108-3,7,1,1,44,
1058108-3,10,0,1,34,
1058108-3,13,0,1,62,
1058108-3,16,1,1,30,
1058108-3,19,1,1,34,
1058108-3,22,1,1,41,
1058108-3,25,0,1,36,
1058108-3,28,0,1,0,
1058108-3,34,0,1,0,
1058108-3,37,1,1,0,
1058108-1,4,1,1,118, 
1058108-1,7,1,1,83,
1058108-1,10,1,1,57,
1058108-1,16,1,1,41,
1058108-1,19,1,1,33,
1058108-1,22,1,1,89,
1058108-1,25,1,1,57,
1058108-1,28,1,1,24,
1058108-1,31,1,1,11,
1058108-1,34,1,1,28,
1058108-1,40,1,1,59,
1058108-1,37,1,1,53,
1058108-1,43,1,1,77,
1058108-1,46,1,1,38,
1058108-1,49,1,1,21,
1058108-1,52,1,1,10,
1058108-1,55,1,1,20,
1068572-3,1,1,1,55,
1068572-3,4,1,1,43,
1068572-3,7,1,1,44,
1068572-3,10,1,1,32,
1068572-3,13,1,1,74,
1068572-3,16,1,1,65,
1068572-3,19,1,1,21,
1068572-3,25,1,1,12,
1068572-3,31,1,1,1,
1068572-3,34,1,1,8,
1068572-3,37,1,1,4,
1068572-3,40,1,1,6,
1068572-3,43,1,1,0,
1068572-3,46,1,1,3,
1074455-2,7,1,1,104,
1074455-2,10,1,1,90,
1074455-2,13,1,1,120,
1074455-2,16,1,1,68,
1074455-2,19,1,1,90,
1074455-2,22,1,1,81,
1074455-2,25,1,1,70,
1074455-2,28,1,1,67,
1074455-2,31,1,1,67,
1074455-2,34,1,1,109,
1074455-2,38,1,1,106,
1074455-2,42,1,1,80,
1074455-2,45,1,1,85,
1074455-2,48,1,1,77,
1074455-2,51,1,1,76,
1074455-2,59,1,1,45,
1074455-2,62,1,1,53,
1074455-2,65,1,1,35,
1074455-2,68,1,1,23,
1074455-2,71,1,1,11,
1074455-2,74,1,1,24,
1074455-2,77,1,1,25,
Ctrl-18824,2,1,1,786,
Ctrl-18824,3,1,1,560,
Ctrl-18824,4,1,1,673,
Ctrl-18824,5,1,1,426,
Ctrl-18824,6,1,1,392,
Ctrl-18824,7,1,1,230,
Ctrl-18824,8,1,1,255,
Ctrl-18824,9,1,1,336,
Ctrl-18824,10,1,1,235,
Ctrl-18824,11,1,1,249,
Ctrl-18824,12,1,1,419,
Ctrl-18824,13,1,1,266,
Ctrl-18824,14,1,1,399,
