Batch,AnimalID,DayPostWounding,DP_Caliper,Lateral_Caliper,Area
2,1001363-1,5,4.15,4.24,13.81986608
2,1001363-1,10,4.07,3.77,12.05107088
2,1001363-1,15,4.14,3.53,11.47796584
2,1001363-1,20,3.94,3.91,12.09937287
2,1001363-1,25,3.59,3.79,10.68620595
2,1001363-1,30,3.41,3.7,9.909368628
2,1001363-1,35,3.13,3.51,8.628619843
2,1001363-2,5,3.99,4.21,13.19303981
2,1001363-2,10,4.42,4.03,13.98998333
2,1001363-2,15,4.34,4.1,13.97537492
2,1001363-2,20,4.05,4.16,13.23238826
2,1001363-2,25,3.71,3.73,10.8685754
2,1001363-2,30,3.66,3.22,9.256074435
2,1001363-2,35,2.89,2.4,5.447521661
3,1058108-1,5,3.97,4.07,12.69038498
3,1058108-1,10,3.45,3.57,9.673356479
3,1058108-1,15,3.33,3.8,9.93842836
3,1058108-1,20,3.07,3.18,7.66752811
3,1058108-1,25,2.82,2.84,6.290096811
3,1058108-2,5,3.99,4.07,12.75431639
3,1058108-2,10,4.2,3.43,11.31444594
3,1058108-2,15,3.5,3.12,8.576547944
3,1058108-2,20,3.08,3.22,7.789264825
3,1058108-2,25,2.2,2.77,4.786216408
3,1058108-3,5,3.8,4.02,11.99774234
3,1058108-3,10,3.53,3.83,10.61850463
3,1058108-3,15,3.23,3.24,8.21934886
3,1058108-3,20,3.62,3.15,8.955895257
3,1058108-3,25,2.34,2.73,5.017280547
3,1062366-1,5,3.81,3.88,11.61038397
3,1062366-1,10,3.57,3.8,10.65471148
3,1062366-1,15,3.11,3.34,8.158244882
3,1062366-1,20,2.64,2.63,5.453176528
3,1062366-1,25,2.34,2.37,4.355661135
3,1062366-2,5,3.96,3.72,11.56985742
3,1062366-2,10,3.74,3.72,10.92708757
3,1062366-2,15,3.21,3.48,8.773525804
3,1062366-2,20,2.89,3.18,7.217966201
3,1062366-2,25,2.36,2.54,4.707990751
3,1064394-1,5,3.39,3.93,10.46362411
3,1064394-1,10,3.54,4,11.12123799
3,1064394-1,15,3.3,3.82,9.900729248
3,1064394-1,20,2.49,2.95,5.769142209
3,1064394-1,25,2.39,2.24,4.204707608
3,1064394-2,5,3.7,2.96,8.601680686
3,1064394-2,10,3.12,3.21,7.865919686
3,1064394-2,15,2.26,2.53,4.490749619
3,1064394-2,20,1.64,1.48,1.906318422
3,1064394-2,25,0.86,0.94,0.634915875
3,1068572-1,5,4.16,3.92,12.80764493
3,1068572-1,10,3.31,3.93,10.21669493
3,1068572-1,15,2.74,2.71,5.831895522
3,1068572-1,20,2.78,2.35,5.131006201
3,1068572-1,25,1.9,2.55,3.805254102
3,1068572-2,5,3.86,3.97,12.03559854
3,1068572-2,10,3.34,3.32,8.709123154
3,1068572-2,15,3.21,3.36,8.470990431
3,1068572-2,20,2.71,2.99,6.364002778
3,1068572-2,25,2.26,2.31,4.100249652
3,1068572-3,5,3.83,4.07,12.24286511
3,1068572-3,10,3.65,3.67,10.5208011
3,1068572-3,15,3.04,3.55,8.476016979
3,1068572-3,20,3.18,3.08,7.692503772
3,1068572-3,25,2.57,3.03,6.115974038
3,1074455-1,5,3.71,4.01,11.68444702
3,1074455-1,10,3.61,3.48,9.866800047
3,1074455-1,15,3.27,3.5,8.98888198
3,1074455-1,20,2.79,3.05,6.683345671
3,1074455-1,25,2.4,2.29,4.316548306
3,1074455-2,5,3.98,4.22,13.19123339
3,1074455-2,10,3.42,3.3,8.864003672
3,1074455-2,15,2.96,3.25,7.555530332
3,1074455-2,20,2.26,3.09,5.484749534
3,1074455-2,25,2.45,2.39,4.598898946
1,922587-1,0,4,4,12.56637061
1,922587-1,5,4.49,4.49,15.83370551
1,922587-1,10,4.09,3.98,12.78486838
1,922587-1,15,3.95,3.87,12.00598902
1,922587-1,20,4.24,3.95,13.15384844
1,922587-1,25,3.65,3.77,10.80747143
1,922587-1,30,3.2,3.91,9.82690182
1,922587-1,35,3.14,3.31,8.162957271
1,922587-1,40,2.85,3.66,8.192488242
1,922587-1,45,2.68,3.06,6.440893258
1,922587-1,50,2.79,2.78,6.091705235
1,922587-1,55,2.48,2.66,5.181114604
1,922587-1,60,1.94,2.27,3.458736432
1,922587-1,65,1.57,1.9,2.342842721
1,922587-1,70,1.18,2.06,1.909145856
1,922587-1,75,0.69,1.76,0.95378753
1,922587-1,80,0.66,1.44,0.746442414
1,922587-1,85,0.61,0.55,0.263501084
1,922587-1,90,0.39,0.47,0.143963483
1,922587-1,95,0,0,0
1,922587-1,100,0,0,0
1,922587-1,105,0,0,0
1,922587-1,110,0,0,0
1,922587-2,0,4,4,12.56637061
1,922587-2,5,4.14,4.09,13.29883294
1,922587-2,10,3.65,3.19,9.144783516
1,922587-2,15,4.2,4.02,13.26066259
1,922587-2,20,3.84,3.89,11.73196361
1,922587-2,25,3.71,3.91,11.3930643
1,922587-2,30,3.66,3.68,10.57837078
1,922587-2,35,3.78,3.6,10.68769821
1,922587-2,40,3.26,3.56,9.115016925
1,922587-2,45,3.02,2.8,6.64132687
1,922587-2,50,2.58,2.16,4.376866885
1,922587-2,55,2.23,1.88,3.29270326
1,922587-2,60,2.4,2.59,4.882034984
1,922587-2,65,2.41,1.88,3.558481999
1,922587-2,70,2.7,2.08,4.410796086
1,922587-2,75,1.93,2.01,3.046795095
